Month,RP,RB,NN,VB,FW,JJ,JJR,JJS,NNP,NNS,POS,RBR,RBS,VBD,VBG,VBN,VBP,VBZ
24-9-2016,0,0,4,1,0,1,0,0,2,3,0,0,0,0,0,0,2,0
8-9-2016,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3-9-2016,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29-7-2016,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23-9-2016,0,0,4,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0
12-11-2016,0,4,9,3,0,1,0,0,0,3,0,0,0,3,1,0,4,1
