Month,ENG_RP,ENG_RB,ENG_NN,ENG_VB,ENG_FW,ENG_JJ,ENG_JJR,ENG_JJS,ENG_NNP,ENG_NNS,ENG_POS,ENG_RBR,ENG_RBS,ENG_VBD,ENG_VBG,ENG_VBN,ENG_VBP,ENG_VBZ
7-1-2016,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-10-2016,0,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
8-1-2014,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1-4-2016,0,4,13,0,0,4,0,0,1,4,0,0,0,0,0,0,2,0
31-5-2015,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13-9-2016,0,1,56,1,3,11,0,0,18,2,0,0,0,0,0,0,1,2
20-11-2013,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
24-10-2015,0,0,5,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0
16-8-2012,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4-9-2014,0,2,127,1,28,16,1,0,28,8,0,0,0,1,0,0,6,12
30-3-2014,0,1,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19-8-2016,0,2,19,0,0,5,0,0,26,5,0,0,0,0,0,0,2,1
5-9-2012,1,1,53,0,2,12,0,0,22,2,0,0,0,6,0,0,1,3
22-1-2016,0,1,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
16-8-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-9-2013,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15-11-2011,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
13-11-2013,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9-11-2012,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-9-2015,0,0,9,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0
25-7-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-1-2014,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-11-2016,0,0,3,0,0,1,0,0,2,2,0,0,0,1,0,1,1,0
26-12-2015,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1-10-2011,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
20-7-2013,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20-9-2015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
